well,analyte,scope,min_detected,min_detected_date,max_detected,max_detected_date,max_reporting_limit_nondetect,max_reporting_limit_date,n_samples_analyzed,n_nondetect,n_detect,unit,regulatory_limit,limit_type,exceedance_ratio_at_max,source_document,source_table,source_pages
ALL_WELLS,arsenic,overall_2006_2023,1.1,6/4/2014,9.9,10/4/2006,5.0,3/12/2012,165,18,147,ug/L,10.0,MCL,0.99,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
ALL_WELLS,barium,overall_2006_2023,33.0,4/12/2017,410.0,10/5/2006,,,170,0,170,ug/L,1000.0,MCL,0.41,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
ALL_WELLS,lead,overall_2006_2023,0.32,4/12/2018,3.4,6/14/2006,6.3,4/12/2018,165,157,8,ug/L,15.0,Regulatory Action Level (California Department of Public Health; NOT an MCL per Table 3 footnote 3),0.227,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
ALL_WELLS,manganese,overall_2006_2023,1.0,10/4/2006,410.0,4/11/2018,50.0,3/12/2012,165,101,64,ug/L,50.0,Secondary MCL,8.2,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
ALL_WELLS,strontium,overall_2006_2023,180.0,3/12/2012,1400.0,4/12/2018,,,154,0,154,ug/L,4000.0,EPA Drinking Water Health Advisory (footnote 4; NOT an MCL),0.35,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
ALL_WELLS,nitrate_as_n,overall_2006_2023,2.1,4/12/2018,40.0,4/9/2019,,,165,0,165,mg/L,10.0,MCL (health-based),4.0,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 4,31-39 (values); 39 (MCL row)
ALL_WELLS,arsenic,overall_2012_2019,1.1,6/4/2014,6.6,7/16/2012,5.0,3/12/2012,149,18,131,ug/L,10.0,MCL,0.66,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
ALL_WELLS,barium,overall_2012_2019,33.0,4/12/2017,370.0,4/9/2019,,,149,0,149,ug/L,1000.0,MCL,0.37,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
ALL_WELLS,lead,overall_2012_2019,0.32,4/12/2018,2.5,3/18/2013,6.3,4/12/2018,149,143,6,ug/L,15.0,Regulatory Action Level (California Department of Public Health; NOT an MCL per Table 3 footnote 3),0.167,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
ALL_WELLS,manganese,overall_2012_2019,1.3,4/12/2017,410.0,4/11/2018,50.0,3/12/2012,149,100,49,ug/L,50.0,Secondary MCL,8.2,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
ALL_WELLS,strontium,overall_2012_2019,180.0,3/12/2012,1400.0,4/12/2018,,,149,0,149,ug/L,4000.0,EPA Drinking Water Health Advisory (footnote 4; NOT an MCL),0.35,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
ALL_WELLS,nitrate_as_n,overall_2012_2019,2.1,4/12/2018,40.0,4/9/2019,,,149,0,149,mg/L,10.0,MCL (health-based),4.0,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 4,31-39 (values); 39 (MCL row)
