# Part 1: min/max computed from RAW DETECTIONS ONLY (value_type == 'detection'), grouped by (location, analyte), from the SSI Report raw CSV.
location,analyte,min_detected_mgkg,min_sample_id,min_depth_ft,max_detected_mgkg,max_sample_id,max_depth_ft,n_detections_contributing,regulatory_limit_mgkg,limit_type,exceedance_ratio_at_max,extreme_deep_barium_flag,source_document
CB2-16.0,Stockpile 2,16.0,97000.0,"SSI Report Table 3 (Barium and Cadmium), PDF pp.39-41; Cadmium Borings analyzed for barium/cadmium only, not full Title 22 panel (Arsenic/Lead/Strontium not analyzed for this boring set) -- EXTREME DEEP VALUE, re-verified against page image (QA)"
CB3-4.0,Stockpile 2,4.0,95000.0,"SSI Report Table 3 (Barium and Cadmium), PDF pp.39-41; Cadmium Borings analyzed for barium/cadmium only, not full Title 22 panel (Arsenic/Lead/Strontium not analyzed for this boring set) -- EXTREME DEEP VALUE, re-verified against page image (QA)"
CB5-6.0,Stockpile 3,6.0,87000.0,"SSI Report Table 3 (Barium and Cadmium), PDF pp.39-41; Cadmium Borings analyzed for barium/cadmium only, not full Title 22 panel (Arsenic/Lead/Strontium not analyzed for this boring set) -- EXTREME DEEP VALUE, re-verified against page image (QA)"
CB1-19.0,Stockpile 2,19.0,60000.0,"SSI Report Table 3 (Barium and Cadmium), PDF pp.39-41; Cadmium Borings analyzed for barium/cadmium only, not full Title 22 panel (Arsenic/Lead/Strontium not analyzed for this boring set) -- EXTREME DEEP VALUE, re-verified against page image (QA)"
CB3-9.0,Stockpile 2,9.0,53000.0,"SSI Report Table 3 (Barium and Cadmium), PDF pp.39-41; Cadmium Borings analyzed for barium/cadmium only, not full Title 22 panel (Arsenic/Lead/Strontium not analyzed for this boring set) -- EXTREME DEEP VALUE, re-verified against page image (QA)"

# Part 3: reported summary statistics found IN THE SSI REPORT itself (background 95% UCL / mean rows from Table 2 and Table 3), quoted as-is.
investigation_event,location,sample_id,depth_ft,is_background,analyte,value_type,value_mgkg,source_document,notes
"Background (Shaw 2009 Final PEA, reproduced in SSI Report Table 2)","Background (offsite reference, composite)",background_composite,,True,Arsenic,background_95UCL,1.2,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf,"SSI Report Table 2 footnote 1, PDF pp.35-38; source: Final PEA, Shaw 2009"
"Background (Shaw 2009 Final PEA, reproduced in SSI Report Table 2)","Background (offsite reference, composite)",background_composite,,True,Arsenic,background_mean,0.97,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf,"SSI Report Table 2 footnote 1, PDF pp.35-38; source: Final PEA, Shaw 2009"
"Background (Shaw 2009 Final PEA, reproduced in SSI Report Table 2)","Background (offsite reference, composite)",background_composite,,True,Barium,background_95UCL,72.8,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf,"SSI Report Table 2 footnote 1, PDF pp.35-38; source: Final PEA, Shaw 2009"
"Background (Shaw 2009 Final PEA, reproduced in SSI Report Table 2)","Background (offsite reference, composite)",background_composite,,True,Barium,background_mean,63.5,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf,"SSI Report Table 2 footnote 1, PDF pp.35-38; source: Final PEA, Shaw 2009"
"Background (Shaw 2009 Final PEA, reproduced in SSI Report Table 2)","Background (offsite reference, composite)",background_composite,,True,Lead,background_95UCL,2.0,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf,"SSI Report Table 2 footnote 1, PDF pp.35-38; source: Final PEA, Shaw 2009"
"Background (Shaw 2009 Final PEA, reproduced in SSI Report Table 2)","Background (offsite reference, composite)",background_composite,,True,Lead,background_mean,1.8,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf,"SSI Report Table 2 footnote 1, PDF pp.35-38; source: Final PEA, Shaw 2009"
