location,analyte,unit,n_analyzed,n_detect,n_nondetect,min_detected,min_detected_date,max_detected,max_detected_date,max_detected_qualifier,max_reporting_limit_nondetect,max_reporting_limit_date,regulatory_limit,limit_type,exceedance_ratio_at_max,exceeds_limit,nondetect_rl_above_limit,source_document
PL1,chromium,ug/L,16,15,1,0.52,1/6/2016,5.6,12/4/2019,,3.7,10/28/2016,50.0,primary MCL,0.112,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
PL1,cobalt,ug/L,16,7,9,0.38,3/22/2018,1.2,12/4/2019,,0.5,4/4/2013,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
PL1,copper,ug/L,16,16,0,2.2,12/12/2014,23.0,1/30/2014,,,,1300.0,primary MCL,0.018,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
PL1,lead,ug/L,16,4,12,0.14,3/24/2017,5.8,3/17/2020,,1.6,3/22/2018,15.0,primary MCL,0.387,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
PL1,magnesium,mg/L,13,13,0,0.2,10/28/2016,3.5,12/15/2016,,,,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
PL1,manganese,ug/L,14,6,8,14.0,12/15/2016,73.0,1/30/2014,,65.0,3/24/2017,50.0,secondary MCL,1.46,yes,yes,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
PL1,mercury,ug/L,16,1,15,0.27,3/17/2020,0.27,3/17/2020,,0.2,4/4/2013,2.0,primary MCL,0.135,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
PL1,molybdenum,ug/L,16,16,0,0.68,12/12/2014,7.4,12/15/2016,,,,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
PL1,nickel,ug/L,16,15,1,1.2,1/6/2016,5.8,1/30/2014,,1.0,12/12/2014,100.0,primary MCL,0.058,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
PL1,nitrate_as_n,mg/L,15,13,2,0.19,3/22/2018,4.7,1/30/2014,,0.16,3/24/2017,10.0,primary MCL,0.47,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
PL1,potassium,mg/L,13,13,0,0.5,10/28/2016,5.6,3/22/2018,,,,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
PL1,selenium,ug/L,16,0,16,,,,,,1.1,3/22/2018,50.0,primary MCL,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
PL1,silver,ug/L,16,0,16,,,,,,0.5,4/4/2013,100.0,secondary MCL,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
PL1,sodium,mg/L,13,13,0,0.5,10/28/2016,10.0,12/15/2016,,,,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
PL1,strontium,ug/L,16,16,0,12.0,10/28/2016,210.0,2/6/2014,,,,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
PL1,sulfate,mg/L,14,14,0,1.1,10/28/2016,25.0,2/6/2014,,,,250.0,secondary MCL,0.1,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
PL1,sulfide,mg/L,16,4,12,0.024,3/5/2016,0.1,12/15/2016,,0.062,10/28/2016,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
PL1,thallium,ug/L,16,0,16,,,,,,0.88,10/28/2016,2.0,primary MCL,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
