medium,source_document,location_or_well,analyte,value_type,value,unit,date_or_event,depth_ft,is_background,n_samples,regulatory_limit,limit_type,exceedance_ratio,source_citation,status,notes
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-6,arsenic,min_detected_per_well_all_dates,2.1,ug/L,4/12/2018,,,16,10.0,MCL,,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=2
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-6,arsenic,max_detected_per_well_all_dates,6.3,ug/L,7/17/2012,,,16,10.0,MCL,0.63,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=2
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-6,barium,min_detected_per_well_all_dates,76.0,ug/L,6/6/2013,,,18,1000.0,MCL,,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-6,barium,max_detected_per_well_all_dates,160.0,ug/L,6/14/2006,,,18,1000.0,MCL,0.16,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-6,lead,min_detected_per_well_all_dates,1.3,ug/L,12/12/2013,,,16,15.0,Regulatory Action Level (California Department of Public Health; NOT an MCL per Table 3 footnote 3),,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=14
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-6,lead,max_detected_per_well_all_dates,3.4,ug/L,6/14/2006,,,16,15.0,Regulatory Action Level (California Department of Public Health; NOT an MCL per Table 3 footnote 3),0.227,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=14
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-6,manganese,min_detected_per_well_all_dates,5.0,ug/L,9/5/2013,,,16,50.0,Secondary MCL,,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=3
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-6,manganese,max_detected_per_well_all_dates,190.0,ug/L,6/14/2006,,,16,50.0,Secondary MCL,3.8,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=3
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-6,strontium,min_detected_per_well_all_dates,550.0,ug/L,6/5/2014,,,16,4000.0,EPA Drinking Water Health Advisory (footnote 4; NOT an MCL),,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-6,strontium,max_detected_per_well_all_dates,1100.0,ug/L,7/17/2012,,,16,4000.0,EPA Drinking Water Health Advisory (footnote 4; NOT an MCL),0.275,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
